ID,Org,Program,Street,City,Zip
C0205,Kellin Foundation,Greensboro HEALS,2110 Golden Gate Drive,Greensboro,27405
C0206,Mended Hearts Counseling,Mended Hearts Counseling,701 W. Main Street,Jamestown,27282
C0207,Mental Health Greensboro,Mental Health Greensboro,700 Walter Reed Drive,Greensboro,27403
C0208,Mental Health Greensboro,Wellness Academy Recovery Classes,700 Walter Reed Drive,Greensboro,27403
C0209,Mental Health Greensboro,One-On-One Peer Support,700 Walter Reed Drive,Greensboro,27403
C0210,Mental Health Greensboro,Peer-Led Support Groups,700 Walter Reed Drive,Greensboro,27403
C0211,Monarch Counseling,Behavioral Health Urgent Care/Greensboro Bellemeade Crisis Center,201 N. Eugene Street,Greensboro,27401
C0212,Monarch Counseling,Greensboro Bellemeade Center,201 N. Eugene Street,Greensboro,27401
C0213,Postpartum Support International,Postpartum Depression Hotline,NA,NA,NA
C0214,Restoration Place Counseling,Restoration Place Counseling,1301 Carolina Street,Greensboro,27401
C0215,RHA Health Services,RHA Behavioral Health Clinic,211 S. Centennial Street,High Point,27260
C0216,Ringer Center,Outpatient Therapy,213 E. Bessemer Avenue,Greensboro,27401
C0217,Sandhills Center,Sandhills Center,201 N. Eugene Street,Greensboro,27401
C0218,Therapeutic Alternatives,Mobile Crisis,4270 Heath Dairy Road,Randleman,27317
C0219,Triad Health Project,HIV/STI Testing,801 Summit Avenue,Greensboro,27405
C0220,Triad Health Project,Higher Ground,801 Summit Avenue,Greensboro,27405
C0221,Triad Health Project,HIV/STI Testing,620 W. English Street,High Point,27262
C0222,Guilford Child Development,Head Start/Early Head Start,1200 Arlington Street,Greensboro,27406
C0223,Guilford County Partnership for Children,NC Pre-K,500 W. Friendly Avenue,Greensboro,27401
C0224,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,N/A,N/A,N/A
C0225,Kellin Foundation,Greensboro HEALS,2110 Golden Gate Drive,Greensboro,27405
C0226,RHA Health Services,Hilltop Comprehensive Substance Use Services,211 S. Centennial Street,High Point,27260
C0227,Ringer Center,Alcohol and Drug Treatment,213 E. Bessemer Avenue,Greensboro,27401
C0228,Ringer Center,DWI Assessments/Treatment,213 E. Bessemer Avenue,Greensboro,27401
C0229,Ringer Center,Department of Transportation assessments,213 E. Bessemer Avenue,Greensboro,27401
C0230,Ringer Center,Drug Detoxification,213 E. Bessemer Avenue,Greensboro,27401
C0231,Ringer Center,Urinalysis,213 E. Bessemer Avenue,Greensboro,27401
C0232,Department of Social Services,Medicaid Transportation,325 E. Russell Ave,High Point,27282
C0233,Greensboro Transit Agency,Greensboro Transit Agency,300 W. Washington Street,Greensboro,27401
C0234,Guilford County Transportation and Mobility Services (TAMS),Guilford County Transportation and Mobility Services (TAMS),1203 Maple Street,Greensboro,27405
C0235,High Point Transit,High Point Transit,716 W. Martin Luther King Jr. Drive,High Point,27262
C0238,Guilford County Schools,Grab-and-Go Meals - Ferndale Middle School,701 Ferndale Blvd,High Point,27262
C0239,Guilford County Schools,Grab-and-Go Meals - Kernodle Middle School,3600 Drawbridge Pkwy,Greensboro,27410
C0240,Guilford County Schools,Grab-and-Go Meals - Page High School,201 Alma Pinnix Dr,Greensboro,27405
C0241,Guilford County Schools,Grab-and-Go Meals - Triangle Lake Montessori School,2401 Triangle Lake Rd,High Point,27260
C0242,Guilford County Schools,Grab-and-Go Meals - Gillespie Park Elementary,1900 Martin Luther King Jr,Greensboro,27406
C0243,Guilford County Schools,Grab-and-Go Meals - Brockett Park,1801 Brockett Avenue,High Point,27260
C0244,Guilford County Schools,Grab-and-Go Meals- Cedar Creek Mobile,3607 S Elm-Eugene St,Greensboro,27406
C0245,Guilford County Schools,Grab-and-Go Meals - Gallant Estates,4449 Burlington Rd,Greensboro,27405
C0246,Guilford County Schools,Grab-and-Go Meals - Grandview Pointe,3128 Utah Pl,Greensboro,27405
C0247,Guilford County Schools,Grab-and-Go Meals - Homestead Apartments,2321 Randleman Rd,Greensboro,27406
C0248,Guilford County Schools,Grab-and-Go Meals - Crowe Mobile Home Park,6201 Jonquil Drive,Greensboro,27407
C0249,Guilford County Schools,Grab-and-Go Meals - Rockwood Manor,3818 Rockwood Manor,Greensboro,27405
C0250,Guilford County Schools,Grab-and-Go Meals - Village 1373,1373 Lees Chapel Road,Greensboro,27455
C0251,Guilford County Schools,Grab-and-Go Meals - Winston Street,NA,NA,NA
M0001,Agape Psychological Consortium,Agape Psychological Consortium,"4160 Piedmont Parkway, Suite 207",Greensboro,27410
M0002,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,N/A,N/A,N/A
M0003,Boys and Girls Club of Greater High Point,Boys and Girls Club at Carson Stout,1900 Fern Avenue,"High Point
",27260
M0004,Boys and Girls Club of Greater High Point,Boys and Girls Club at Central Asheboro Club,801 Sunset Avenue,Asheboro,27203
M0005,Boys and Girls Club of Greater High Point,Boys and Girls Club at Southside Club,401 Taylor Avenue,High Point,27260
M0006,Boys and Girls Club of Greater High Point,Boys and Girls Club at Ward Street Club,1619 W Ward Avenue,High Point,27260
M0007,Boys and Girls Club of Greater High Point,Boys and Girls Club at West End Club,903 English Road,High Point,27262
M0008,UNCG Center for New North Carolinians,Family Violence Prevention Services,"915 W. Gate City Boulevard, Suite A",Greensboro,27403
M0009,UNCG Center for New North Carolinians,Glen Haven Community Center,NA,NA,NA
M0010,UNCG Center for New North Carolinians,Legacy Crossing Community Center,NA,NA,NA
M0011,UNCG Center for New North Carolinians,Oakwood Forest Community Center,NA,NA,NA
M0012,UNCG Center for New North Carolinians,Community Enrichment Center,NA,NA,NA
M0013,UNCG Center for New North Carolinians,Greensboro Refugee Employment Advancement Team,"916 W. Gate City Boulevard, Suite A",Greensboro,27403
M0014,UNCG Center for New North Carolinians,Immigrant Health ACCESS Project,"915 W. Gate City Boulevard, Suite A",Greensboro,27403
M0015,UNCG Center for New North Carolinians,Immigration Services,"915 W. Gate City Boulevard, Suite A",Greensboro,27403
M0016,UNCG Center for New North Carolinians,Thriving at Three,915 W. Gate City Blvd. Suite A,Greensboro,27403
M0017,Children's Home Society,HealthySteps,604 Meadow St.,Greensboro,27405
M0018,Children's Home Society,Partnering for Healthy Parenting,4545 Premier Dr.,High Point,NA
M0019,Cone Health,Breastfeeding Fundamentals,"1200 N. Elm Street
",Greensboro,27401
M0020,Cone Health Behavioral Health,Cone Health Behavioral Health - Inpatient Services,700 Walter Reed Drive,Greensboro,27403
M0021,Cone Health Behavioral Health,Cone Health Behavioral Health - Inpatient Services,700 Walter Reed Drive,Greensboro,27403
M0022,Cone Health Behavioral Health,Cone Health Behavioral Health - Adolescent Intensive Outpatient Program,"510 N. Elam Avenue, Suite 301",Greensboro,27403
M0023,Cone Health Behavioral Health,Cone Health Behavioral Health - Individual Therapy,700 Walter Reed Drive,Greensboro,27403
M0024,Cone Health Behavioral Health,Cone Health Behavioral Health - Group Therapy,"510 N. Elam Avenue, Suite 301",Greensboro,27403
M0025,Cone Health Behavioral Health,Cone Health Behavioral Health - Partial Hospitalization,"510 N. Elam Avenue, Suite 301",Greensboro,27403
M0026,Department of Public Health,Adopt A Mom,"1203 Maple Street
","Greensboro
",27405
M0027,Department of Public Health,Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),1203 Maple Street,Greensboro,27405
M0028,Department of Public Health,Children's Developmental Services Agencies (CDSAs),122 N. Elm Street,Greensboro,27401
M0029,Department of Public Health,WIC,1100 E. Wendover Avenue,Greensboro,27405
M0030,Department of Public Health,WIC,501 E. Green Drive,High Point,27260
M0031,Department of Social Services,Child Protective Services,1203 Maple Street,Greensboro,27405
M0032,Department of Social Services,Child Protective Services,325 E. Russell Avenue,High Point,27260
M0033,Department of Social Services,Emergency Assistance - The Salvation Army,"1311 S. Eugene Street
",Greensboro,27405
M0034,Department of Social Services,Medicaid Transportation,325 E. Russell Ave,High Point,27282
M0035,Department of Social Services,Food and Nutrition Services (Food Stamps),325 E. Russell Ave,High Point,27260
M0036,Department of Social Services,Food and Nutrition Services (Food Stamps),1203 Maple Street,Greensboro,27405
M0037,Department of Social Services,Work First Family Assistance,1203 Maple Street,Greensboro,27405
M0038,Department of Public Health,CC4C,1203 Maple St.,High Point,27260
M0039,Department of Public Health,Guilford Family Connects,1203 Maple Street,Greensboro,27405
M0040,Department of Health and Human Services,Just Teens Clinic,NA,NA,NA
M0041,Department of Public Health,Case Management for High Risk Pregnancy (CMHRP) formerly OBCM,1100 Wendover Ave.,Greensboro,27405
M0042,FaithAction International House,FaithAction ID Program,705 N. Greene Street,Greensboro,27401
M0043,FaithAction International House,Immigrant Assistance Center,705 N. Greene Street,Greensboro,27401
M0044,Family Justice Center,Family Justice Center,201 S. Greene Street 2nd floor,Greensboro,27401
M0045,Family Justice Center,Family Justice Center,505 E. Green Drive,High Point,27260
M0046,Family Services of the Piedmont,Fairview Family Resource Center,401 Taylor Avenue,High Point,27261
M0047,Family Services of the Piedmont,High Point Center for Child Wellness,308 Boulevard Street,HIgh Point,27262
M0048,Family Services of the Piedmont,The Families First Center,315 E. Washington Street,Greensboro,27401
M0049,Family Services of the Piedmont,The Slane Center,1401 Long Street,High Point,27262
M0050,Family Services of the Piedmont,Healthy Start,315 E. Washington St.,Greensboro,27401
M0051,Family Solutions,Family Solutions,231 N. Spring Street,Greensboro,27401
M0052,Family Solutions,Family Solutions,148 Baker Road,Archdale,27263
M0053,Greater High Point Food Alliance,Food Finder High Point,815 Phillips Avenue,High Point,27262
M0054,Greensboro Housing Authority,Greensboro Housing Authority,450 N. Church Street,Greensboro,27401
M0055,Greensboro Housing Coalition,Greensboro Housing Coalition,1031 Summit Avenue,Greensboro,27405
M0056,Greensboro Public Libraries,Greensboro Public Libraries,219 N. Church Street,Greensboro,27401
M0057,Greensboro Transit Agency,Greensboro Transit Agency,300 W. Washington Street,Greensboro,27401
M0058,Greensboro Urban Ministry,Food Pantry,305 W. Gate City Boulevard,Greensboro,27406
M0059,Greensboro Urban Ministry,Potter's House Community Kitchen,306 W. Gate City Boulevard,Greensboro,27406
M0060,Guilford Child Development,Family Success Center,1200 Arlington Street,Greensboro,27406
M0061,Guilford Child Development,Head Start/Early Head Start,1200 Arlington Street,Greensboro,27406
M0062,Guilford Child Development,High Point Opportunity Center,2039 Brentwood Street,High Point,27263
M0063,Guilford Child Development,Learning Together,1200 Arlington Street,Greensboro,27406
M0064,Guilford Child Development,Nurse-Family Partnership,1200 Arlington Street,Greensboro,27406
M0065,Guilford County Partnership for Children,NC Pre-K,"500 W. Friendly Avenue, Suite 100",Greensboro,27401
M0066,Guilford County Transportation and Mobility Services (TAMS),Guilford County Transportation and Mobility Services (TAMS),1203 Maple Street,Greensboro,27405
M0067,High Point Housing Authority,High Point Housing Authority,500 E. Russell Street,High Point,27260
M0068,High Point Medical Center- Esther R. Culp Women's Center,Pregnancy/Postpartum Support Group,601 N. Elm Street,High Point,27262
M0069,High Point Parks and Recreation,High Point Parks and Recreation,136 Northpoint Avenue,High Point,27262
M0070,High Point Transit,High Point Transit,716 W. Martin Luther King Jr. Drive,High Point,27262
M0071,Hope4Healers Helpline,Hope4Healers Helpline,NA,NA,NA
M0072,Hope4NC Helpline,Hope4NC Helpline,NA,NA,NA
M0073,Interactive Resource Center,Interactive Resource Center,407 E Washington Street,Greensboro,27401
M0074,Journeys Counseling,Journeys Counseling,"3405 W. Wendover Avenue, Suite A",Greensboro,27407
M0075,Kellin Foundation,Girls Leadership Edge,2110 Golden Gate Drive Suite B,Greensboro,27405
M0076,Kellin Foundation,Greensboro Child Response Initiative,2110 Golden Gate Drive Suite B,Greensboro,27405
M0077,Kellin Foundation,Greensboro HEALS,"2110 Golden Gate Drive, Suite B",Greensboro,27405
M0078,Kellin Foundation,Lindys Kids,2110 Golden Gate Drive Suite B,Greensboro,27405
M0079,Kellin Foundation,Treehouse Trauma Recovery,2110 Golden Gate Drive Suite B,Greensboro,27405
M0080,NA,Kellin's Kids,NA,NA,NA
M0081,Legal Aid of NC,Legal Aid of NC,122 N. Elm Street,Greensboro,27401
M0082,Macedonia Family Resource Center,Food Pantry,401 Lake Avenue,High Point,27260
M0083,Mended Hearts Counseling,Mended Hearts Counseling,701 W. Main Street Suite C,Jamestown,27282
M0084,Mental Health Greensboro,Mental Health Greensboro,700 Walter Reed Drive,Greensboro,27403
M0085,Mental Health Greensboro,One-on-One Peer Support,700 Walter Reed Drive,Greensboro,27403
M0086,Mental Health Greensboro,Peer-Led Support Groups,700 Walter Reed Drive,Greensboro,27403
M0087,Mental Health Greensboro,Wellness Academy Recovery Classes,700 Walter Reed Drive,Greensboro,27403
M0088,Monarch Counseling,Behavioral Health Urgent Care/Greensboro Bellemeade Crisis Center,201 N. Eugene Street,Greensboro,27401
M0089,Monarch Counseling,Greensboro Bellemeade Center,201 N. Eugene Street,Greensboro,27401
M0090,Novant Health,Baby Cafe,N/A,N/A,N/A
M0091,Out of the Garden Project,Food Giveaway,1806 Merrit Drive,Greensboro,27407
M0092,Out of the Garden Project,Food Giveaway,1301 Alamance Church Road,Greensboro,27406
M0093,Out of the Garden Project,Fresh Moblie Market,300 NC Highway 68 South,Greensboro,27409
M0094,Parents as Teachers,Parents as Teachers,415 N. Edgeworth Street Suite 206,Greensboro,27455
M0095,Piedmont Health Services and Sickle Cell Agency,Healthy Start Triad Baby Love Plus,1102 E. Market St.,Greensboro,27401
M0096,Postpartum Support International,Postpartum Depression Hotline,NA,NA,NA
M0097,Reading Connections,Reading Connections,122. Elm Street Suite 920,Greensboro,27401
M0098,Reading Connections,Reading Connections,901 N. Main Street,High Point,27262
M0099,Restoration Place Counseling,Restoration Place Counseling,1301 Carolina Street,Greensboro,27401
M0100,RHA Health Services,Hilltop Comprehensive Substance Use Services,211 S. Centennial Street,High Point,27260
M0101,RHA Health Services,RHA Behavioral Health Clinic,211 S. Centennial Street,High Point,27260
M0102,Ringer Center,Alcohol and Drug Treatment,213 E. Bessemer Avenue,Greensboro,27401
M0103,Ringer Center,Department of Transportation Assessments,213 E. Bessemer Avenue,Greensboro,27401
M0104,Ringer Center,Drug Detoxification,213 E. Bessemer Avenue,Greensboro,27401
M0105,Ringer Center,DWI Assessments/Treatment,213 E. Bessemer Avenue,Greensboro,27401
M0106,Ringer Center,Mental Evaluations,213 E. Bessemer Avenue,Greensboro,27401
M0107,Ringer Center,Therapy,213 E. Bessemer Avenue,Greensboro,27401
M0108,Ringer Center,Urinalysis,213 E. Bessemer Avenue,Greensboro,27401
M0109,Room at the Inn,Mary Nussbaum Maternity Home,734 Park Avenue,Greensboro,27405
M0110,Salvation Army of Greensboro,Boys and Girls Club at Caldcleugh Unit,1700 Orchard Street,Greensboro,27406
M0111,Salvation Army of Greensboro,Boys and Girls Club at Hickory Trails,4223 Romaine Street,Greensboro,27407
M0112,Salvation Army of Greensboro,Boys and Girls Club at Reynolds Unit,1001 Freeman Mill Road,Greensboro,27406
M0113,Salvation Army of Greensboro,Boys and Girls Club at Teen Center,400 W. Whittington Street,Greensboro,27406
M0114,Salvation Army of Greensboro,Center of Hope Crisis Assistance,1311 S. Eugene Street,Greensboro,27406
M0115,Sandhills Center,Sandhills Center,201 N. Eugene Street,Greensboro,27401
M0116,Sherri Denese Jackson Foundation,Temporary Emergency Shelter Assistance,125 S. Elm Street Suite 205,Greensboro,27401
M0117,Therapeutic Alternatives,Mobile Crisis,4270 Heath Dairy Road,Randleman,27317
M0118,Triad Health Project,Higher Ground,801 Summit Avenue,Greensboro,27405
M0119,Triad Health Project,HIV/STI Testing,801 Summit Avenue,Greensboro,27405
M0120,Triad Health Project,HIV/STI Testing,620 W. English Street,High Point,27262
M0121,UNCG,Bringing Out The Best,923 W. Gate City Boulevard Suite A,Greensboro,27402
M0122,WFLP,Welfare Reform Liasion Project,863 N. Raleigh St.,Greensboro,27405
M0123,Womens Resource Center of Greensboro,Womens Resource Center of Greensboro,628 Summit Avenue,Greensboro,27405
M0124,World Relief Triad,Anti-Human Trafficking,"155 Northpoint Avenue, Suite 102",High Point,27262
M0125,World Relief Triad,Employment Services,"155 Northpoint Avenue, Suite 102",High Point,27262
M0126,World Relief Triad,Health and Wellness,"155 Northpoint Avenue, Suite 102",High Point,27262
M0127,World Relief Triad,Immigration Legal Services,"155 Northpoint Avenue, Suite 102",High Point,27262
M0128,YWCA Greensboro,Emergency Family Shelter,1807 E. Wendover Avenue,Greensboro,27405
M0129,YWCA Greensboro,Teen Parent Mentor Program,1807 Wendover Ave. E,Greensboro,27405
M0130,YWCA High Point,Adolescent Parenting Program,155 W. Westwood Avenue,High Point,27262
M0131,YWCA High Point,Healthy Beginnings,155 W. Westwood Avenue,High Point,27262
M0132,YWCA High Point,Latino Family Center - El Pueblo,155 W. Westwood Avenue,High Point,27262
M0133,YWCA High Point,Latino Family Center - The Lead Program,155 W. Westwood Avenue,HIgh Point,27262
M0134,YWCA High Point,Womens Resource Center - Baby Basics Program,155 W. Westwood Avenue,High Point,27262
M0135,YWCA High Point,Womens Resource Center - Career Closet Program,155 W. Westwood Avenue,High Point,27262
M0136,YWCA High Point,Youth Services,155 W. Westwood Avenue,HIgh Point,27262
M0137,YWCA Greensboro,Healthy Moms Healthy Babies,1807 E. Wendover Avenue,Greensboro,27405
M0138,UNCG Psychology Clinic,Indiviual and Group Counseling,"1100 West Market Street in Greensboro, NC on the 2nd floor",Greensboro,27403
M0139,Youth Unlimited,Residential,338 Burton Ave,High Point,27262
M0140,Youth Unlimited,Theraputic and Family Foster Care,338 Burton Ave,High Point,27262
M0141,Youth Unlimited,Intensive In Home Services,338 Burton Ave,High Point,27262
M0142,Youth Unlimited,Psychiatric/Behavior Health Medication Management Services,338 Burton Ave,High Point,27262
M0143,Youth Unlimited,Outpatient Counseling Services,338 Burton Ave,High Point,27262
M0144,Archdale -Trinity Counseling Center,Outpatient Therapy,11635 N Main St Ste D,Archdale,27263
M0145,Helping Hands Ministry,Financial Assistance,NA,NA,NA
M0146,Helping Hands Ministry,Food Pantry,1301 Alamance Church Road,Greensboro,27406
M0147,PDY&F,Emergency Food Pantry,2207 E Cone Blvd,Greensboro,27405
M0148,Turning Point 180,Bread of Life Food Pantry,1606 Phillips Ave,Greensboro,27405
M0149,DHHS,Low Income Energy Assistance,1203 Maple Street,Greensboro,27405
M0150,Guilford Child Development,Child Care Search Tool,NA,NA,NA
M0151,Barnabas Network,Furniture Program,838 Winston Street,Greensboro,27405
M0152,DHHS,Child Care Subsidy Program,1200 Arlington Street,Greensboro,27406
M0153,Children Home Soceity of NC,Wise Guys,NA,NA,NA
M0159,Blessed Table Food Pantry,Blessed Table Food Pantry,3210 Summit Ave,Greensboro,NA
M0160,Mustard Seed Community Health,Mustard Seed Community Health,238 South English St,Greensboro,27410
M0161,Triad Behavioral Services,Outpatient Treatment,NA,NA,NA
M0162,Planned Parenthood,Womens Health,1704 Battleground Ave,Greensboro,27408
M0163,Partnership Village,Partnership Villiage,135 Greenbriar Rd.,Greensboro,27405
M0164,Fisher Park Counseling,Fisher Park Counseling,208 East Bessemer Ave.,Greensboro,27401
M0165,Hope Filled Hearts,Hope Filles Hearts,NA,NA,NA
M0166,Mary's House,Mary's House,520 Guilford Ave,Greensboro,27401
M0167,Freedom House,Freedom House,PO Box 38215,Greensboro,27438
M0168,Malachi House,Malachi House,Po Box 3171,Greensboro,27402
M0169,NC Works,NC Works,2301 W. Meadowview Rd,Greensboro,27407
M0170,Goodwill Industries Career Center,Goodwill Industries Career Center,NA,NA,NA
M0171,Vocational Rehab,Vocational Rehab,3401 W. Wendover Ave #A,Greensboro,27407
M0172,Career Centers of the Carolinas,Career Centers of the Carolinas,3225 Battleground Ave,Greensboro,27408
M0173,Dismas Charities,Dismas Charities,307 N Church St,Greensboro,27401
M0174,Step Up Minsitries,Step Up Ministries,707 North Green Street,Greensboro,27401
M0175,Triad Career Network,Triad Career Network,NA,NA,NA
M0176,Consumer Credit Counseling,Consumer Credit Counseling,315 E.Washington,Greensboro,27401
M0177,Guilford Community Care Network,Guilford Community Care Network (GCCN),612 Pasteur Dr,Greensboro,27406
M0178,NC African Services Coalition,NCASC,NA,NA,NA
M0179,Caring Services Inc,Caring Services Inc,102 Chestnut Dr,High Point,27262
M0180,NC A&T Cooperative Extension,Cooperative Extension,1601 E. Market Street,Greensboro,27411
M0181,Piedmont Authority Regional Transportation,PART,NA,Greensboro,27409
M0182,Autism Unbound,Autism Unbound,PO Box 41166,Greensboro,27404
M0183,NC Center for Behavioral Wellness at A&T,NA,913 Bluford St,Greensboro,27401
M0184,High Point Medical Center Lactation Services,NA,NA,NA,NA
